Timestamp,"Do you want to be consider to win ₦2,000  airtime",Which of the following age groups do you fall into?,What is your marital status? ,What is your highest level of education?,Which one of the following best describes your current employment status?,Which of these range of monthly income do you belong?,Who in your household is responsible for the financial decisions?,"Do you have any dependents? By ‘dependent’, we mean ‘financially dependent’.","In terms of the property you live in, do you?",Where do you live?,What are your short-term financial goals (i.e. over the next two years)? Select all that apply,"Are you involved in informal money handling groups (e.g. informal savings groups, ajo, group lending)?",Have you ever taken out a loan?,Which of the following lending institutions are you aware of?,Which of the following have you taken a loan from?,What are the main reasons that would make you take out a loan?,What loan are you most likely to use for starting a new business?,Which of the following is the single biggest challenge when taking out a loan?,What data will you be willing to give out for credit scoring as part of your loan application process?,What are your biggest barriers to taking a loan?,What are the three most important qualities you look out for in a lender?,What is your preferred channel for taking out a loan?,"When thinking of lenders in Nigeria, which brand comes to mind first?",What are the main avenues you use to decide on which lender to go for?,What is your gender?,Identifier
44780.54466,Yes,25 - 34,Married,University education,Full-time employed,"N50,000 - N100,000",My partner plays a small role but it is mostly up to me,Children under the age of 18,Rent the property,Lagos,"To increase the number of personal assets I own, To generate multiple sources of income, To secure my finances",Yes,Yes,"Microfinance Banks, Informal Lenders (Ajo, Corporative)","Microfinance Banks, Digital Lenders","To meet a cash gap before next pay day, To pay for a medical need, To expand your current business",Micro financing,"Providing collateral, High interest rates","Work information, Salary details, Bank statement","Lack of knowledge, e.g. I don’t know how to","Speed, Interest rates, Security, trust, and discretion",Mobile app,LAPO,Advertising,Male,xu2vgwb8v8
44779.98052,Yes,25 - 34,Married,University education,Self-employed,"N0 - N50,000",Myself only,None,Rent the property,Lagos,"To grow my current business, To be able to invest, To pay my rent, To invest more than I am already investing, To generate multiple sources of income, To secure my finances",Yes,Yes,"Informal Lenders (Ajo, Corporative)","Informal Lenders (Ajo, Corporative)",To expand your current business,"Formal loan from a commercial bank, Micro financing, Informal lenders","Providing collateral, High interest rates","Work information, Bank statement","Fear of debt, The instability of the economy, Fear of being embarrassed by the lender","Interest rates, Convenience and customer service, Security, trust, and discretion",Mobile app,Irorun,"Advertising, Direct marketing, Face to face",Female,wjhqxgv
44780.73742,Yes,18 - 24,Single,Secondary education,Self-employed,"N50,000 - N100,000",My partner plays a small role but it is mostly up to me,Partner/Spouse,Rent the property,Lagos,To invest more than I am already investing,No,No,"Money Lenders, Informal Lenders (Ajo, Corporative)",None,To expand your current business,Family and friends,"Providing collateral, High interest rates, Getting approval for the loan",Home address,Fear of being embarrassed by the lender,"Speed, Interest rates, Security, trust, and discretion",Mobile app,Irorun,Social media,Male,e0505le
44784.53264,Yes,18 - 24,Single,University education,Not working,"N0 - N50,000",My parents make the decision,Parents,Live with parents or guardian,Abuja,"To have my own business, To be able to invest, To generate multiple sources of income, To secure my finances, To leave Nigeria",Yes,No,"Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative)",None,"To meet a cash gap before next pay day, To pay for school fees, To start a new business, To expand your current business",Micro financing,"High interest rates, The risk of getting into debt, Getting approval for the loan","Bank statement, Guarantor details",Fear of debt,"Agent-led onboarding, Interest rates, Fees and service charge, Convenience and customer service, Financial assistance and coaching",Agent,Renmoney,Advertising,Female,auc9481
44779.79057,Yes,45 - 49,Married,University education,Full-time employed,"N50,000 - N100,000",My partner and I make joint decisions,Children under the age of 18,Own the property,South West,To have my own business,Yes,Yes,"Commercial Banks, Money Lenders",Money Lenders,To meet a cash gap before next pay day,"Formal loan from a commercial bank, Digital lenders",High interest rates,Home address,Fear of debt,"Speed, Interest rates",Mobile app,Digital lender,Social media,Male,30iu825
44782.94862,Yes,25 - 34,Single,Secondary education,Self-employed,"N500,000 - N1,000,000",Myself only,Other dependents (other than those listed above),Own the property,South West,To have my own business,Yes,Yes,Digital Lenders,Digital Lenders,To buy a phone or laptop,Formal loan from a commercial bank,High interest rates,Work information,Fear of not having money to repay the loan,Fees and service charge,Website,Yes,Social media,Male,1mcdto1
44779.86427,Yes,25 - 34,Single,University education,Full-time employed,"N50,000 - N100,000",My parents make the decision,Parents,Live with parents or guardian,South West,To grow my current business,No,No,Digital Lenders,None,To expand your current business,Digital lenders,Getting approval for the loan,Home address,Fear of being embarrassed by the lender,"Speed, Financial stability, Security, trust, and discretion",Mobile app,Irorun,Social media,Male,k1boq2d
44781.4966,Yes,25 - 34,Married,College education,Self-employed,"N100,000 - N300,000",My partner and I make joint decisions,None,Own the property,Lagos,To buy my first property,No,No,Digital Lenders,None,To expand your current business,Digital lenders,Getting approval for the loan,Home address,Fear of being embarrassed by the lender,"Speed, Interest rates, Financial stability",Mobile app,Irorun,Advertising,Male,0a5o0ovabj
44781.51542,Yes,25 - 34,Married,College education,Self-employed,"N100,000 - N300,000",My partner and I make joint decisions,None,Own the property,Lagos,To grow my current business,No,No,"Informal Lenders (Ajo, Corporative)",None,To expand your current business,Digital lenders,High interest rates,Home address,"Fear of debt, Fear of being embarrassed by the lender","Speed, Interest rates, Financial stability",Mobile app,Irorun,Advertising,Male,7kj5dten5a
44780.48786,Yes,25 - 34,Single,College education,Self-employed,"N300,000 - N500,000",Myself only,Parents,Rent the property,Lagos,"To grow my current business, To secure my finances",No,No,Money Lenders,None,To expand your current business,Formal loan from a commercial bank,The risk of getting into debt,Home address,Fear of debt,Interest rates,Mobile app,Lagos branch ,Social media,Male,gow54c6
44779.72079,Yes,18 - 24,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,None,Live with parents or guardian,Lagos,To grow my current business,Yes,Yes,Money Lenders,Money Lenders,To pay for a medical need,Digital lenders,"High interest rates, The risk of getting into debt",Home address,Fear of debt,"Interest rates, Financial stability",Mobile app,Carbon,Social media,Female,j9ojv5b
44779.74734,Yes,25 - 34,Married,University education,Full-time employed,"N0 - N50,000",Myself only,None,Rent the property,North West,To pay my rent,No,Yes,Commercial Banks,Commercial Banks,To pay for school fees,Formal loan from a commercial bank,Getting approval for the loan,Home address,Fear of debt,"Brand of the lender, Financial stability",Branch,To solve my problem,Social media,Male,wihvd46
44790.31224,Yes,55 - 59,Married,Post-graduate education,Full-time employed,"N100,000 - N300,000",Myself only,Children 18yrs and older,Own the property,North East,To grow my current business,No,Yes,"Commercial Banks, Microfinance Banks","Commercial Banks, Microfinance Banks, Digital Lenders","To meet a cash gap before next pay day, To pay for a medical need, To pay for school fees, To expand your current business","Formal loan from a commercial bank, Micro financing",High interest rates,Work information,"The instability of the economy, Fear of being embarrassed by the lender","Interest rates, Fees and service charge, Convenience and customer service",Mobile app,Carbon ,"Advertising, Direct marketing, Social media",Male,4t1okcppry
44779.81584,Yes,18 - 24,Single,University education,Full-time employed,"N500,000 - N1,000,000",My parents make the decision,Parents,Own the property,North West,"To have my own business, To grow my current business, To increase the number of personal assets I own, To be able to invest, To invest more than I am already investing, To secure my finances",No,Yes,"Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",Money Lenders,"To meet a cash gap before next pay day, To pay for a medical need, To pay for school fees, To buy a phone or laptop, To start a new business, To expand your current business, Buying a car, Buying a home, For cash flow","Formal loan from a commercial bank, Micro financing, Digital lenders, Informal lenders, Family and friends","Onboarding process, Providing collateral, High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details",I don’t have a barrier,"Speed, Digital onboarding and experience, Interest rates, Fees and service charge, Convenience and customer service, Financial assistance and coaching",Mobile app,PalmPay ,Social media,Male,ghh36n3
44780.71518,Yes,25 - 34,Single,University education,Full-time employed,"N0 - N50,000",Myself only,None,Rent the property,South South,"To have my own business, To be able to invest, To secure my finances",Yes,Yes,"Commercial Banks, Digital Lenders","Commercial Banks, Money Lenders, Digital Lenders","To meet a cash gap before next pay day, For cash flow","Formal loan from a commercial bank, Digital lenders","Onboarding process, High interest rates, Getting approval for the loan","Home address, Bank statement","Fear of debt, The instability of the economy, Lack of the requirements to take out loan","Speed, Interest rates, Convenience and customer service",Website,Commercial banks and website,"Word of mouth referrals, Advertising, Social media",Male,orqdey6
44781.47584,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,Other dependents (other than those listed above),Rent the property,South West,"To buy my first property, To secure my finances",Yes,Yes,"Commercial Banks, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders","Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks, Digital Lenders","To meet a cash gap before next pay day, To buy a phone or laptop, For cash flow","Formal loan from a commercial bank, Informal lenders","Onboarding process, Providing collateral, High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details",Fear of debt,Speed,Mobile app,Lendsqr,"Word of mouth referrals, Advertising, Direct marketing, Social media, Face to face",Male,rum3h2g
44780.74019,Yes,18 - 24,Single,Secondary education,Self-employed,"Above N1,000,000",My partner and I make joint decisions,None,Rent the property,Lagos,To invest more than I am already investing,No,No,Microfinance Banks,None,To expand your current business,Family and friends,Getting approval for the loan,Home address,I don’t have a barrier,"Security, trust, and discretion",Mobile app,None ,Social media,Male,7foamc4
44780.73159,Yes,25 - 34,Married,College education,Self-employed,"N50,000 - N100,000",Myself only,Children under the age of 18,Own the property,North Central,To have my own business,Yes,Yes,Commercial Banks,Commercial Banks,To start a new business,Formal loan from a commercial bank,Getting approval for the loan,Home address,Fear of debt,Interest rates,Mobile app,Paying my loan in time,Social media,Male,838nyaz
44782.39275,Yes,18 - 24,Single,College education,Student,"N0 - N50,000",My parents make the decision,Parents,Live rent-free,Lagos,"To have my own business, To be able to invest, To generate multiple sources of income",No,Yes,Digital Lenders,None,To meet a cash gap before next pay day,Family and friends,"Onboarding process, High interest rates, Getting approval for the loan",Guarantor details,"Lack of the requirements to take out loan, Fear of being embarrassed by the lender","Speed, Fees and service charge, Longevity in the market",Mobile app,Irorun,"Word of mouth referrals, Advertising",Male,kopnvlszcs
44780.97443,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,None,Own the property,North Central,To grow my current business,Yes,No,"Commercial Banks, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",None,To expand your current business,Digital lenders,The risk of getting into debt,Home address,The instability of the economy,"Speed, Agent-led onboarding, Longevity in the market, Security, trust, and discretion",Mobile app,Irorun,"Direct marketing, Social media",Male,3cxadarzb8
44780.73288,Yes,25 - 34,Single,College education,Self-employed,"N50,000 - N100,000",Myself only,None,Rent the property,North Central,To grow my current business,No,No,Commercial Banks,None,To expand your current business,Micro financing,Getting approval for the loan,"Bank statement, Guarantor details",Fear of being embarrassed by the lender,"Convenience and customer service, Financial stability, Security, trust, and discretion",Mobile app,Return the money back,Social media,Male,q7d2adz
44780.42357,Yes,40 - 44,Married,University education,Self-employed,"N100,000 - N300,000",My partner and I make joint decisions,Children under the age of 18,Own the property,Abuja,"To grow my current business, To be able to invest, To generate multiple sources of income",Yes,Yes,"Commercial Banks, Digital Lenders",Digital Lenders,"To meet a cash gap before next pay day, For cash flow","Formal loan from a commercial bank, Any reasonable offer ",High interest rates,"Home address, Work information, Bank statement","The instability of the economy, Fear of being embarrassed by the lender","Speed, Interest rates, Fees and service charge",Mobile app,Fair money,Advertising,Male,h1wpr1u
44784.35881,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,Children 18yrs and older,Live with parents or guardian,North West,To grow my current business,No,No,Microfinance Banks,None,To expand your current business,Digital lenders,Getting approval for the loan,Home address,Lack of the requirements to take out loan,"Speed, Financial stability, Security, trust, and discretion",Website,Mobile apps ,Advertising,Male,ngil27c
44780.70056,Yes,18 - 24,Single,University education,Student,"N0 - N50,000",My parents make the decision,Children 18yrs and older,Rent the property,Lagos,To grow my current business,No,Yes,Digital Lenders,Digital Lenders,To expand your current business,Formal loan from a commercial bank,The risk of getting into debt,Bank statement,Fear of being embarrassed by the lender,"Security, trust, and discretion",Branch,Commercial bank,Face to face,Male,cno8bwo38w
44782.59349,Yes,18 - 24,Single,University education,Self-employed,"N0 - N50,000",Myself only,Parents,Live with parents or guardian,Abuja,To grow my current business,No,No,Microfinance Banks,None,"To start a new business, To expand your current business",Micro financing,"High interest rates, The risk of getting into debt","Home address, Salary details, Bank statement, Guarantor details",Fear of debt,"Interest rates, Convenience and customer service, Financial assistance and coaching",Mobile app,Irorun,"Advertising, Direct marketing",Male,vtoc36azin
44788.81022,Yes,18 - 24,Single,College education,Student,"N0 - N50,000",Myself only,None,Rent the property,Lagos,To have my own business,Yes,No,Money Lenders,Money Lenders,To pay for school fees,Micro financing,Onboarding process,Home address,I don’t have a barrier,Brand of the lender,Mobile app,Micro finance bank ,Word of mouth referrals,Female,72rb6wkvts
44779.8669,Yes,18 - 24,Single,University education,Self-employed,"N0 - N50,000",Myself only,None,Own the property,North East,To have my own business,Yes,No,Non,None,To meet a cash gap before next pay day,Non,Non,Guarantor details,I don’t have a barrier,Non,Non,Non,Non,Male,gtayw6cbld
44782.84077,Yes,25 - 34,Married,Post-graduate education,Self-employed,"N50,000 - N100,000",My partner plays a small role but it is mostly up to me,Children under the age of 18,Own the property,North Central,To grow my current business,Yes,Yes,"Commercial Banks, Money Lenders",Commercial Banks,To expand your current business,"Formal loan from a commercial bank, Micro financing","Providing collateral, High interest rates, The risk of getting into debt","Home address, Bank statement","Fear of debt, The instability of the economy, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Digital onboarding and experience, Interest rates, Fees and service charge",Mobile app,irorun,Advertising,Male,2qx2t4iajz
44780.30968,Yes,50 - 54,Married,University education,Full-time employed,"N50,000 - N100,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,Abuja,"To have my own business, To increase the number of personal assets I own, To pay my fees",No,Yes,"Commercial Banks, Money Lenders, Microfinance Banks, Digital Lenders","Commercial Banks, Money Lenders, Microfinance Banks, Digital Lenders","To meet a cash gap before next pay day, To pay for a medical need, For cash flow","Formal loan from a commercial bank, Micro financing, Digital lenders","Providing collateral, High interest rates, The risk of getting into debt","Home address, Work information, Salary details","Fear of debt, The instability of the economy, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Digital onboarding and experience, Security, trust, and discretion",Mobile app,Umba,"Word of mouth referrals, Face to face",Male,4iv1qse
44781.3081,Yes,18 - 24,Single,University education,Part-time employed,"N0 - N50,000",Myself only,Parents,Rent the property,Lagos,To generate multiple sources of income,Yes,Yes,"Microfinance Banks, Digital Lenders","Microfinance Banks, Digital Lenders",To meet a cash gap before next pay day,Formal loan from a commercial bank,High interest rates,Bank statement,Fear of debt,"Speed, Interest rates, Convenience and customer service, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Branch,"Word of mouth referrals, Direct marketing, Social media",Male,olas2f0
44780.69645,Yes,18 - 24,Single,College education,Not working,"N0 - N50,000",Myself only,None,Own the property,Abuja,To be able to invest,No,No,Hi ,None,To start a new business,Family and friends,High interest rates,Bank statement,Fear of debt,"Interest rates, Brand of the lender",Website,Pay back,Word of mouth referrals,Male,phhku60
44779.76713,Yes,25 - 34,Married,University education,Full-time employed,"N50,000 - N100,000",Myself only,Children under the age of 18,Own the property,North East,"To grow my current business, To increase the number of personal assets I own, To invest more than I am already investing, To generate multiple sources of income",No,Yes,Money Lenders,Money Lenders,"To pay for a medical need, To start a new business, To expand your current business","Formal loan from a commercial bank, Micro financing, Digital lenders, Informal lenders, Family and friends","Onboarding process, Providing collateral, High interest rates","Home address, Work information, Salary details, Bank statement, Guarantor details","Lack of the requirements to take out loan, Fear of not having money to repay the loan","Speed, Interest rates, Fees and service charge",Mobile app,Irorun,"Direct marketing, Social media",Male,n5i4ezl1n2
44779.87792,Yes,18 - 24,Single,University education,Student,"N0 - N50,000",My parents make the decision,None,Live with parents or guardian,Abuja,"To generate multiple sources of income, To leave Nigeria",No,Yes,"Commercial Banks, Digital Lenders",Digital Lenders,To meet a cash gap before next pay day,Family and friends,"Providing collateral, The risk of getting into debt","Home address, Bank statement","Fear of debt, The instability of the economy, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Interest rates",Website,Migo ,"Word of mouth referrals, Advertising",Male,ify3qt7
44784.72145,Yes,40 - 44,Married,Secondary education,Full-time employed,"N0 - N50,000",Myself only,Partner/Spouse,Own the property,North East,To have my own business,No,No,Money Lenders,None,To meet a cash gap before next pay day,Formal loan from a commercial bank,High interest rates,Home address,The instability of the economy,Speed,Mobile app,Business ,Direct marketing,Male,g3ilc6h
44791.61703,Yes,25 - 34,Married,College education,Self-employed,"N50,000 - N100,000",Myself only,Children under the age of 18,Rent the property,North Central,"To have my own business, To grow my current business",No,No,Commercial Banks,Commercial Banks,To start a new business,"Formal loan from a commercial bank, Digital lenders",Getting approval for the loan,Home address,I don’t have a barrier,Digital onboarding and experience,Mobile app,Payment,Advertising,Male,lu864nv
44791.61975,Yes,25 - 34,Married,College education,Self-employed,"N50,000 - N100,000",Myself only,Partner/Spouse,Rent the property,North Central,To grow my current business,No,No,Commercial Banks,Commercial Banks,To start a new business,Micro financing,Getting approval for the loan,Bank statement,I don’t have a barrier,Fees and service charge,Mobile app,Payment,Advertising,Male,fefqqiy19l
44781.65236,Yes,18 - 24,Single,Post-graduate education,Student,2000,Myself only,None,Live with parents or guardian,Abuja,To pay my fees,Yes,Yes,Money Lenders,Pampay,To pay my school fee,Formal loan from a commercial bank,The risk of getting into debt,Home address,Fear of debt,Fees and service charge,Website,Delta,Word of mouth referrals,Male,mdaus9pvwr
44780.4908,Yes,25 - 34,Single,College education,Full-time employed,"N50,000 - N100,000",Myself only,None,Rent the property,Abuja,To grow my current business,No,No,Money Lenders,None,To expand your current business,Micro financing,Getting approval for the loan,Home address,Fear of not having money to repay the loan,Interest rates,Mobile app,Bank ,Social media,Male,r2ir1y1
44779.72368,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,None,Rent the property,North Central,"To be able to invest, To generate multiple sources of income, To secure my finances",No,Yes,Commercial Banks,Commercial Banks,To expand your current business,Formal loan from a commercial bank,The risk of getting into debt,Bank statement,"Fear of debt, The instability of the economy","Fees and service charge, Longevity in the market",Branch,Lapo,Advertising,Male,58jehwk
44780.1346,Yes,18 - 24,Single,University education,Student,"N0 - N50,000",Myself only,Parents,Live with parents or guardian,North Central,To generate multiple sources of income,No,No,Digital Lenders,None,To pay for a medical need,Digital lenders,The risk of getting into debt,Home address,I don’t have a barrier,"Security, trust, and discretion",Mobile app,Irorun,Direct marketing,Male,nxmythwwlm
44780.5768,Yes,18 - 24,Single,College education,Student,"N0 - N50,000",My parents make the decision,None,Rent the property,Lagos,To be able to invest,No,Yes,Microfinance Banks,Digital Lenders,To pay for school fees,Digital lenders,"High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Work information, Bank statement, Guarantor details","The instability of the economy, Lack of the requirements to take out loan","Speed, Interest rates, Fees and service charge, Convenience and customer service, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Irorun,"Word of mouth referrals, Social media, Face to face",Male,9u5x1rfdkb
44780.70642,Yes,25 - 34,Single,University education,Self-employed,"N100,000 - N300,000",My partner and I make joint decisions,Children under the age of 18,Own the property,North East,"To grow my current business, To increase the number of personal assets I own, To be able to invest, To pay my rent, To leave Nigeria",Yes,No,"Commercial Banks, Finance Houses, Microfinance Banks","Commercial Banks, Microfinance Banks",To expand your current business,Formal loan from a commercial bank,"High interest rates, The risk of getting into debt",Bank statement,"Lack of the requirements to take out loan, Fear of being embarrassed by the lender","Speed, Digital onboarding and experience",Mobile app,Micro Finance,"Advertising, Direct marketing, Face to face",Male,d58gp4a
44780.98265,Yes,50 - 54,Married,Secondary education,Self-employed,"N50,000 - N100,000",My partner plays a small role but it is mostly up to me,Children under the age of 18,Live rent-free,North Central,To grow my current business,Yes,Yes,Digital Lenders,Digital Lenders,To expand your current business,Digital lenders,Getting approval for the loan,Guarantor details,The instability of the economy,Convenience and customer service,Mobile app,Irorun,Advertising,Male,vnun7d6
44779.84621,Yes,18 - 24,Married,Post-graduate education,Self-employed,"N100,000 - N300,000",Myself only,None,Own the property,North Central,"To grow my current business, To increase the number of personal assets I own, To invest more than I am already investing, To generate multiple sources of income, To secure my finances",Yes,Yes,"Money Lenders, Microfinance Banks, Informal Lenders (Ajo, Corporative)",Money Lenders,To expand your current business,Formal loan from a commercial bank,High interest rates,"Home address, Work information, Salary details, Bank statement, Guarantor details",I don’t have a barrier,"Speed, Interest rates, Fees and service charge, Convenience and customer service, Security, trust, and discretion",Mobile app,Irorun,Word of mouth referrals,Male,ha41ca8
44780.59226,Yes,25 - 34,Single,University education,Self-employed,"N100,000 - N300,000",Myself only,Parents,Rent the property,North Central,"To grow my current business, To be able to invest, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances",Yes,Yes,"Commercial Banks, Finance Houses, Informal Lenders (Ajo, Corporative), Digital Lenders","Digital Lenders, Informal Lenders (Ajo, Corporative)",To expand your current business,"Formal loan from a commercial bank, Micro financing, Digital lenders, Informal lenders, Family and friends","High interest rates, The risk of getting into debt","Home address, Work information, Bank statement","Fear of debt, The instability of the economy, Lack of the requirements to take out loan, Fear of not having money to repay the loan","Speed, Digital onboarding and experience, Interest rates, Fees and service charge, Brand of the lender, Convenience and customer service, Financial stability, Security, trust, and discretion, Financial assistance and coaching",Website,Lendsqr,"Word of mouth referrals, Advertising, Direct marketing",Male,h4d1hff
44779.70139,Yes,18 - 24,Single,University education,Student,"N50,000 - N100,000",Myself only,None,Rent the property,North Central,To have my own business,Yes,Yes,Money Lenders,Money Lenders,To start a new business,Formal loan from a commercial bank,"High interest rates, Getting approval for the loan","Home address, Work information, Bank statement, Guarantor details",I don’t have a barrier,"Speed, Interest rates, Convenience and customer service",Mobile app,Micro financers,Advertising,Male,8jx0gvq8qi
44780.56243,Yes,25 - 34,Married,University education,Full-time employed,"N50,000 - N100,000",Myself only,Partner/Spouse,Rent the property,North Central,To have my own business,No,Yes,Digital Lenders,Money Lenders,To start a new business,Digital lenders,High interest rates,Home address,Fear of being embarrassed by the lender,Speed,Mobile app,Ajeloan ,Social media,Male,b9g1xxf
